Congruent,bin,Incongruent,bin,avg,,sv,,sd,,,≤Ó“Ï—˘±æ,avg,sv,sd,,ME,CI,d,r^2
12.079,3,19.278,15,14.051125,22.01591667,3.884841,7.463824,3.559358143,4.79706093,,-7.199,-7.964791667,0.579121,4.864829373,-8.028673042,2.052537683,-10.01253768,-1.637860082,0.737085467
16.791,6,18.741,18,,,7.513081,10.686361,,,,-1.95,,36.1201,,,,-5.907462317,,
9.564,9,21.214,21,,,20.124196,0.633616,11.65550796,21.17085008,,-11.65,,13.6161,,,,,,
8.63,12,15.687,24,,,29.3764,39.980329,,,,-7.057,,0.815409,,,,,,
14.669,15,22.803,27,,,0.383161,0.628849,,,,-8.134,,0.030276,,,,,,
12.238,18,20.878,30,,,3.283344,1.281424,,,,-8.64,,0.4624,,,,,,
14.692,21,24.572,33,,,0.412164,6.563844,,,,-9.88,,3.6864,,,,,,
8.987,24,17.394,36,,,25.633969,21.307456,,,,-8.407,,0.199809,,,,,,
9.401,27,20.762,39,,,21.613201,1.557504,,,,-11.361,,11.566801,,,,,,
14.48,,26.282,,,,0.1849,18.249984,,,,-11.802,,14.760964,,,,,,
22.328,,24.524,,,,68.525284,6.320196,,,,-2.196,,33.223696,,,,,,
15.298,,18.644,,,,1.557504,11.329956,,,,-3.346,,21.288996,,,,,,
15.073,,17.51,,,,1.046529,20.25,,,,-2.437,,30.503529,,,,,,
16.929,,20.33,,,,8.288641,2.8224,,,,-3.401,,20.784481,,,,,,
18.2,,35.255,,,,17.2225,175.430025,,,,-17.055,,82.719025,,,,,,
12.13,,22.158,,,,3.6864,0.021904,,,,-10.028,,4.276624,,,,,,
18.495,,25.139,,,,19.758025,9.790641,,,,-6.644,,1.731856,,,,,,
10.639,,20.429,,,,11.634921,2.499561,,,,-9.79,,3.3489,,,,,,
11.344,,17.425,,,,7.322436,21.022225,,,,-6.081,,3.530641,,,,,,
12.369,,34.288,,,,2.825761,150.749284,,,,-21.919,,194.853681,,,,,,
12.944,,23.894,,,,1.223236,3.549456,,,,-10.95,,8.9401,,,,,,
14.233,,17.96,,,,0.033489,16.4025,,,,-3.727,,17.918289,,,,,,
19.71,,22.058,,,,32.0356,0.002304,,,,-2.348,,31.494544,,,,,,
16.004,,21.157,,,,3.818116,0.727609,,,,-5.153,,7.879249,,,,,,
